"county","indicator","Unit","Date","Value"
"Nandi Central","Average Household size","","2019","4"
"Chesumei","Number of Households","Number","2019","39051"
"Chesumei","Average Household size","","2019","4"
"Nandi","Number of Households","Number","2019","199426"
"Nandi","Average Household size","","2019","4"
"Marakwet West","Number of Households","Number","2019","29523"
"Marakwet West","Average Household size","","2019","5"
"Marakwet East","Number of Households","Number","2019","21362"
"Marakwet East","Average Household size","","2019","5"
"Keiyo South","Number of Households","Number","2019","27029"
"Keiyo South","Average Household size","","2019","4"
"Keiyo North","Number of Households","Number","2019","21947"
"Keiyo North","Average Household size","","2019","4"
"Elgeyo/Marakwet","Number of Households","Number","2019","99861"
"Elgeyo/Marakwet","Average Household size","","2019","5"
"Turbo","Number of Households","Number","2019","75139"
"Turbo","Average Household size","","2019","4"
"Soy","Number of Households","Number","2019","53784"
"Soy","Average Household size","","2019","4"
"Moiben","Number of Households","Number","2019","46729"
"Moiben","Average Household size","","2019","4"
"Kesses","Number of Households","Number","2019","34653"
"Kesses","Average Household size","","2019","4"
"Kapseret","Number of Households","Number","2019","59746"
"Kapseret","Average Household size","","2019","3"
"Ainabkoi","Number of Households","Number","2019","34892"
"Ainabkoi","Average Household size","","2019","4"
"Uasin Gishu","Number of Households","Number","2019","304943"
"Uasin Gishu","Average Household size","","2019","4"
"Kiminini","Number of Households","Number","2019","56731"
"Kiminini","Average Household size","","2019","4"
"Endebess","Number of Households","Number","2019","23705"
"Endebess","Average Household size","","2019","5"
"Kwanza","Number of Households","Number","2019","45752"
"Kwanza","Average Household size","","2019","4"
"Trans Nzoia East","Number of Households","Number","2019","50017"
"Trans Nzoia East","Average Household size","","2019","5"
"Trans Nzoia West","Number of Households","Number","2019","47603"
"Trans Nzoia West","Average Household size","","2019","4"
"Trans Nzoia","Number of Households","Number","2019","223808"
"Trans Nzoia","Average Household size","","2019","4"
"Samburu East","Number of Households","Number","2019","18424"
"Samburu East","Average Household size","","2019","4"
"Samburu North","Number of Households","Number","2019","13284"
"Samburu North","Average Household size","","2019","5"
"Samburu","Number of Households","Number","2019","65910"
"Samburu","Average Household size","","2019","5"
"Samburu Central","Number of Households","Number","2019","34202"
"Samburu Central","Average Household size","","2019","5"
"West Pokot","Number of Households","Number","2019","36341"
"West Pokot","Average Household size","","2019","5"
"Pokot North","Number of Households","Number","2019","25804"
"Pokot North","Average Household size","","2019","5"
"Pokot South","Number of Households","Number","2019","13817"
"Pokot South","Average Household size","","2019","6"
"Pokot Central","Number of Households","Number","2019","21850"
"Pokot Central","Average Household size","","2019","5"
"Kipkomo","Number of Households","Number","2019","18370"
"Kipkomo","Average Household size","","2019","6"
"West Pokot","Number of Households","Number","2019","116182"
"West Pokot","Average Household size","","2019","5"
"Turkana West","Number of Households","Number","2019","45451"
"Turkana West","Average Household size","","2019","5"
"Turkana South","Number of Households","Number","2019","24552"
"Turkana South","Average Household size","","2019","6"
"Turkana North","Number of Households","Number","2019","13119"
"Turkana North","Average Household size","","2019","5"
"Turkana East","Number of Households","Number","2019","17981"
"Turkana East","Average Household size","","2019","8"
"Turkana Central","Number of Households","Number","2019","38173"
"Turkana Central","Average Household size","","2019","5"
"Loima","Number of Households","Number","2019","19438"
"Loima","Average Household size","","2019","5"
"Kibish","Number of Households","Number","2019","5805"
"Kibish","Average Household size","","2019","6"
"Turkana","Number of Households","Number","2019","164519"
"Turkana","Average Household size","","2019","6"
"Thika West","Number of Households","Number","2019","89458"
"Thika West","Average Household size","","2019","3"
"Thika East","Number of Households","Number","2019","12736"
"Thika East","Average Household size","","2019","3"
"Ruiru","Number of Households","Number","2019","129470"
"Ruiru","Average Household size","","2019","3"
"Limuru","Number of Households","Number","2019","49174"
"Limuru","Average Household size","","2019","3"
"Lari","Number of Households","Number","2019","38592"
"Lari","Average Household size","","2019","3"
